Strategie,Startkapital,Endkapital,PnL %,Max DD %,Trades,Win Rate %
AAVE/USDT:USDT (1d),50,"5,219.94",10339.88%,26.05%,424,41.04%
ETH/USDT:USDT (1d),50,"4,663.05",9226.10%,40.32%,212,37.74%
BTC/USDT:USDT (1d),50,220.08,340.16%,10.42%,207,55.56%
