timestamp,open,high,low,close,volume
2025-01-01 00:00:00+00:00,2.0832,2.1115,2.0812,2.1096,12657030.0
2025-01-01 01:00:00+00:00,2.1096,2.11,2.0933,2.0937,10174091.0
2025-01-01 02:00:00+00:00,2.0937,2.1054,2.0924,2.1054,5189879.0
2025-01-01 03:00:00+00:00,2.1054,2.1077,2.0987,2.106,4242835.0
2025-01-01 04:00:00+00:00,2.106,2.1114,2.0986,2.1017,6390622.0
2025-01-01 05:00:00+00:00,2.1017,2.148,2.0998,2.135,25938720.0
2025-01-01 06:00:00+00:00,2.135,2.1469,2.1293,2.1435,11139063.0
2025-01-01 07:00:00+00:00,2.1435,2.1436,2.1228,2.1239,5792906.0
2025-01-01 08:00:00+00:00,2.1239,2.1349,2.1078,2.1098,23784477.0
2025-01-01 09:00:00+00:00,2.1098,2.116,2.09,2.1051,31441662.0
2025-01-01 10:00:00+00:00,2.1051,2.1182,2.1045,2.1084,17141881.0
2025-01-01 11:00:00+00:00,2.1084,2.1436,2.1015,2.135,28834202.0
2025-01-01 12:00:00+00:00,2.135,2.1741,2.1305,2.1672,56533101.0
2025-01-01 13:00:00+00:00,2.1672,2.1847,2.1581,2.1646,58665312.0
2025-01-01 14:00:00+00:00,2.1646,2.185,2.1598,2.1736,53793203.0
2025-01-01 15:00:00+00:00,2.1736,2.2337,2.1625,2.2282,75311524.0
2025-01-01 16:00:00+00:00,2.2282,2.2831,2.223,2.2636,147677715.0
2025-01-01 17:00:00+00:00,2.2636,2.266,2.2115,2.2587,77323486.0
2025-01-01 18:00:00+00:00,2.2587,2.333,2.2472,2.3216,122196244.0
2025-01-01 19:00:00+00:00,2.3216,2.3424,2.2879,2.3175,106925908.0
2025-01-01 20:00:00+00:00,2.3175,2.3194,2.2951,2.3056,30118184.0
2025-01-01 21:00:00+00:00,2.3056,2.3294,2.2842,2.3207,46106796.0
2025-01-01 22:00:00+00:00,2.3207,2.3545,2.2975,2.3485,52086023.0
2025-01-01 23:00:00+00:00,2.3485,2.352,2.3129,2.3319,47029729.0
2025-01-02 00:00:00+00:00,2.3319,2.4531,2.3288,2.3893,240989177.0
2025-01-02 01:00:00+00:00,2.3893,2.4113,2.3705,2.401,70468823.0
2025-01-02 02:00:00+00:00,2.401,2.4166,2.3864,2.4048,40022581.0
2025-01-02 03:00:00+00:00,2.4048,2.4302,2.4004,2.4238,30747765.0
2025-01-02 04:00:00+00:00,2.4238,2.428,2.3973,2.3997,26935892.0
2025-01-02 05:00:00+00:00,2.3997,2.4013,2.366,2.3728,53249974.0
2025-01-02 06:00:00+00:00,2.3728,2.3831,2.3439,2.3558,49721969.0
2025-01-02 07:00:00+00:00,2.3558,2.3735,2.3489,2.3675,29352485.0
2025-01-02 08:00:00+00:00,2.3675,2.384,2.3673,2.3784,21319581.0
2025-01-02 09:00:00+00:00,2.3784,2.4095,2.377,2.4,42855716.0
2025-01-02 10:00:00+00:00,2.4,2.405,2.3833,2.3955,37325611.0
2025-01-02 11:00:00+00:00,2.3955,2.4175,2.3873,2.4041,31655764.0
2025-01-02 12:00:00+00:00,2.4041,2.4222,2.3974,2.4073,26687866.0
2025-01-02 13:00:00+00:00,2.4073,2.4144,2.3851,2.391,33284003.0
2025-01-02 14:00:00+00:00,2.391,2.4225,2.3642,2.4076,99370192.0
2025-01-02 15:00:00+00:00,2.4076,2.4102,2.3774,2.4037,41781823.0
2025-01-02 16:00:00+00:00,2.4037,2.4216,2.3935,2.4187,28012800.0
2025-01-02 17:00:00+00:00,2.4187,2.4389,2.3766,2.3961,55161005.0
2025-01-02 18:00:00+00:00,2.3961,2.4147,2.3852,2.4067,19750721.0
2025-01-02 19:00:00+00:00,2.4067,2.4155,2.3868,2.3874,14812791.0
2025-01-02 20:00:00+00:00,2.3874,2.3971,2.3653,2.3836,23777369.0
2025-01-02 21:00:00+00:00,2.3836,2.3882,2.3721,2.3866,13603111.0
2025-01-02 22:00:00+00:00,2.3866,2.4111,2.3847,2.405,20334656.0
2025-01-02 23:00:00+00:00,2.405,2.414,2.3976,2.4025,14181687.0
2025-01-03 00:00:00+00:00,2.4025,2.4195,2.3979,2.4114,18852420.0
2025-01-03 01:00:00+00:00,2.4114,2.4381,2.3963,2.4236,37798016.0
2025-01-03 02:00:00+00:00,2.4236,2.466,2.4182,2.447,50331012.0
2025-01-03 03:00:00+00:00,2.447,2.4747,2.4371,2.4675,40858599.0
2025-01-03 04:00:00+00:00,2.4675,2.4683,2.437,2.4431,25786747.0
2025-01-03 05:00:00+00:00,2.4431,2.4452,2.4204,2.4293,30821484.0
2025-01-03 06:00:00+00:00,2.4293,2.4535,2.4287,2.4445,26331656.0
2025-01-03 07:00:00+00:00,2.4445,2.4463,2.4036,2.4155,43634828.0
2025-01-03 08:00:00+00:00,2.4155,2.4252,2.4014,2.4132,21400463.0
2025-01-03 09:00:00+00:00,2.4132,2.4279,2.4084,2.4203,19151878.0
2025-01-03 10:00:00+00:00,2.4203,2.4293,2.4081,2.4111,26984276.0
2025-01-03 11:00:00+00:00,2.4111,2.4365,2.4,2.4095,35063832.0
2025-01-03 12:00:00+00:00,2.4095,2.422,2.4033,2.4033,23250422.0
2025-01-03 13:00:00+00:00,2.4033,2.4181,2.4003,2.4087,25953562.0
2025-01-03 14:00:00+00:00,2.4087,2.445,2.4079,2.4342,41346253.0
2025-01-03 15:00:00+00:00,2.4342,2.4495,2.4241,2.4468,38256126.0
2025-01-03 16:00:00+00:00,2.4468,2.4813,2.437,2.4598,59556989.0
2025-01-03 17:00:00+00:00,2.4598,2.4713,2.4386,2.4427,51196365.0
2025-01-03 18:00:00+00:00,2.4427,2.4594,2.4388,2.4514,23909690.0
2025-01-03 19:00:00+00:00,2.4514,2.4794,2.4497,2.4731,34587739.0
2025-01-03 20:00:00+00:00,2.4731,2.4731,2.4484,2.4486,26427039.0
2025-01-03 21:00:00+00:00,2.4486,2.4546,2.441,2.4536,13632712.0
2025-01-03 22:00:00+00:00,2.4536,2.4671,2.4515,2.4596,12274231.0
2025-01-03 23:00:00+00:00,2.4596,2.4679,2.4503,2.4541,15382182.0
2025-01-04 00:00:00+00:00,2.4541,2.466,2.4271,2.4436,36912801.0
2025-01-04 01:00:00+00:00,2.4436,2.4745,2.4315,2.4734,23846497.0
2025-01-04 02:00:00+00:00,2.4734,2.51,2.464,2.4849,89630009.0
2025-01-04 03:00:00+00:00,2.4849,2.4872,2.461,2.4654,21391643.0
2025-01-04 04:00:00+00:00,2.4654,2.4659,2.4417,2.4508,26825646.0
2025-01-04 05:00:00+00:00,2.4508,2.4609,2.4458,2.4542,11687248.0
2025-01-04 06:00:00+00:00,2.4542,2.4615,2.4507,2.4563,9242071.0
2025-01-04 07:00:00+00:00,2.4563,2.46,2.4446,2.4458,9383892.0
2025-01-04 08:00:00+00:00,2.4458,2.4518,2.4306,2.4324,29372646.0
2025-01-04 09:00:00+00:00,2.4324,2.4488,2.4322,2.4457,15898708.0
2025-01-04 10:00:00+00:00,2.4457,2.4535,2.434,2.4397,14366881.0
2025-01-04 11:00:00+00:00,2.4397,2.4443,2.4275,2.4407,14835109.0
2025-01-04 12:00:00+00:00,2.4407,2.4535,2.438,2.4493,17696421.0
2025-01-04 13:00:00+00:00,2.4493,2.4583,2.4436,2.4542,14954448.0
2025-01-04 14:00:00+00:00,2.4542,2.4595,2.445,2.4586,12464761.0
2025-01-04 15:00:00+00:00,2.4586,2.4631,2.4006,2.4119,71818104.0
2025-01-04 16:00:00+00:00,2.4119,2.4339,2.4106,2.42,29585869.0
2025-01-04 17:00:00+00:00,2.42,2.4281,2.4119,2.4263,12745909.0
2025-01-04 18:00:00+00:00,2.4263,2.4298,2.4153,2.4202,11217629.0
2025-01-04 19:00:00+00:00,2.4202,2.4254,2.413,2.4229,8781357.0
2025-01-04 20:00:00+00:00,2.4229,2.4393,2.4188,2.4343,12450490.0
2025-01-04 21:00:00+00:00,2.4343,2.442,2.4183,2.4235,19604269.0
2025-01-04 22:00:00+00:00,2.4235,2.4325,2.417,2.4293,8003207.0
2025-01-04 23:00:00+00:00,2.4293,2.4328,2.4166,2.4203,9872228.0
2025-01-05 00:00:00+00:00,2.4203,2.4284,2.4058,2.409,20648491.0
2025-01-05 01:00:00+00:00,2.409,2.4109,2.3678,2.388,57803333.0
2025-01-05 02:00:00+00:00,2.388,2.3971,2.3836,2.3928,17352953.0
2025-01-05 03:00:00+00:00,2.3928,2.3949,2.3826,2.3906,12384696.0
2025-01-05 04:00:00+00:00,2.3906,2.4065,2.3899,2.4009,17753344.0
2025-01-05 05:00:00+00:00,2.4009,2.4054,2.3919,2.3948,11329172.0
2025-01-05 06:00:00+00:00,2.3948,2.408,2.3871,2.4064,15080126.0
2025-01-05 07:00:00+00:00,2.4064,2.4153,2.3964,2.4008,16849330.0
2025-01-05 08:00:00+00:00,2.4008,2.4033,2.3662,2.382,47148412.0
2025-01-05 09:00:00+00:00,2.382,2.3847,2.3449,2.3499,39572515.0
2025-01-05 10:00:00+00:00,2.3499,2.3543,2.328,2.3418,53565204.0
2025-01-05 11:00:00+00:00,2.3418,2.3588,2.3364,2.352,26508754.0
2025-01-05 12:00:00+00:00,2.352,2.3669,2.3428,2.358,20370185.0
2025-01-05 13:00:00+00:00,2.358,2.3786,2.3563,2.3655,24297589.0
2025-01-05 14:00:00+00:00,2.3655,2.3818,2.344,2.3742,45576688.0
2025-01-05 15:00:00+00:00,2.3742,2.3803,2.3593,2.3672,23106462.0
2025-01-05 16:00:00+00:00,2.3672,2.376,2.3579,2.3655,16381851.0
2025-01-05 17:00:00+00:00,2.3655,2.384,2.3654,2.3793,19907748.0
2025-01-05 18:00:00+00:00,2.3793,2.4094,2.3678,2.4027,28415609.0
2025-01-05 19:00:00+00:00,2.4027,2.4112,2.38,2.3825,27083453.0
2025-01-05 20:00:00+00:00,2.3825,2.4,2.382,2.397,16012047.0
2025-01-05 21:00:00+00:00,2.397,2.4048,2.3897,2.3908,9389081.0
2025-01-05 22:00:00+00:00,2.3908,2.4032,2.3856,2.402,11172517.0
2025-01-05 23:00:00+00:00,2.402,2.4149,2.3967,2.3988,20448369.0
2025-01-06 00:00:00+00:00,2.3988,2.4118,2.3845,2.3887,22721241.0
2025-01-06 01:00:00+00:00,2.3887,2.4199,2.3726,2.4188,40203223.0
2025-01-06 02:00:00+00:00,2.4188,2.4429,2.4041,2.4056,45923011.0
2025-01-06 03:00:00+00:00,2.4056,2.4153,2.3973,2.4116,13130830.0
2025-01-06 04:00:00+00:00,2.4116,2.4246,2.4116,2.4164,14772834.0
2025-01-06 05:00:00+00:00,2.4164,2.4178,2.4027,2.4035,18333286.0
2025-01-06 06:00:00+00:00,2.4035,2.4141,2.3977,2.41,24299594.0
2025-01-06 07:00:00+00:00,2.41,2.4154,2.3909,2.3935,19539342.0
2025-01-06 08:00:00+00:00,2.3935,2.4033,2.378,2.3797,21513859.0
2025-01-06 09:00:00+00:00,2.3797,2.3872,2.3734,2.385,14045891.0
2025-01-06 10:00:00+00:00,2.385,2.3896,2.3762,2.3865,18253565.0
2025-01-06 11:00:00+00:00,2.3865,2.4044,2.381,2.3955,16839740.0
2025-01-06 12:00:00+00:00,2.3955,2.4014,2.388,2.3907,16494327.0
2025-01-06 13:00:00+00:00,2.3907,2.3996,2.3785,2.3983,11834914.0
2025-01-06 14:00:00+00:00,2.3983,2.438,2.3662,2.4288,69147207.0
2025-01-06 15:00:00+00:00,2.4288,2.4514,2.417,2.4366,69514453.0
2025-01-06 16:00:00+00:00,2.4366,2.4592,2.4267,2.4449,37179081.0
2025-01-06 17:00:00+00:00,2.4449,2.445,2.4,2.416,38279926.0
2025-01-06 18:00:00+00:00,2.416,2.4308,2.4064,2.426,17643127.0
2025-01-06 19:00:00+00:00,2.426,2.4339,2.4203,2.4245,8668977.0
2025-01-06 20:00:00+00:00,2.4245,2.43,2.412,2.4195,9325216.0
2025-01-06 21:00:00+00:00,2.4195,2.4245,2.4085,2.412,9522531.0
2025-01-06 22:00:00+00:00,2.412,2.4252,2.4063,2.4207,8050089.0
2025-01-06 23:00:00+00:00,2.4207,2.4215,2.4094,2.4194,6036699.0
2025-01-07 00:00:00+00:00,2.4194,2.4234,2.405,2.4067,12213984.0
