Strategie,Startkapital,Endkapital,PnL %,Max DD %,Trades,Win Rate %,Status
AAVE/USDT:USDT (6h),20,5569.58,27747.92,41.31,1177,44.69,OK
AAVE/USDT:USDT (2h),20,4157.10,20685.51,27.14,1257,45.82,OK
AAVE/USDT:USDT (1d),20,4016.37,19981.87,46.41,520,38.85,OK
ADA/USDT:USDT (15m),20,3941.49,19607.43,56.33,9423,63.42,OK
ADA/USDT:USDT (1d),20,3870.72,19253.59,32.46,513,38.01,OK
XRP/USDT:USDT (6h),20,3573.77,17768.83,67.44,640,44.22,OK
ETH/USDT:USDT (6h),20,3524.16,17520.82,43.68,2490,46.22,OK
DOGE/USDT:USDT (2h),20,2548.28,12641.38,81.66,1266,39.42,OK
XRP/USDT:USDT (15m),20,2095.96,10379.79,77.89,9617,74.59,OK
XRP/USDT:USDT (30m),20,1655.87,8179.37,33.02,699,54.22,OK
DOGE/USDT:USDT (15m),20,1418.21,6991.05,36.08,1638,55.56,OK
ADA/USDT:USDT (30m),20,1387.07,6835.36,84.36,443,33.63,OK
SOL/USDT:USDT (30m),20,1263.66,6218.29,22.82,357,54.90,OK
AAVE/USDT:USDT (15m),20,1221.20,6006.01,58.76,16071,71.40,OK
XRP/USDT:USDT (1d),20,1192.31,5861.55,60.18,325,47.38,OK
DOGE/USDT:USDT (6h),20,1069.86,5249.30,188.21,8,25.00,⚠️ Liquidiert
SOL/USDT:USDT (2h),20,997.93,4889.67,42.44,1759,53.04,OK
AAVE/USDT:USDT (30m),20,861.69,4208.46,33.70,7304,65.95,OK
ADA/USDT:USDT (2h),20,741.77,3608.83,72.19,480,28.96,OK
ADA/USDT:USDT (6h),20,731.66,3558.29,157.10,4,0.00,⚠️ Liquidiert
DOGE/USDT:USDT (30m),20,705.93,3429.64,26.42,3663,77.86,OK
SOL/USDT:USDT (1d),20,700.78,3403.90,133.22,18,16.67,⚠️ Liquidiert
AAVE/USDT:USDT (1h),20,699.60,3398.00,34.76,4659,76.07,OK
AAVE/USDT:USDT (4h),20,586.63,2833.13,76.07,985,20.51,OK
BTC/USDT:USDT (6h),20,508.29,2441.44,81.77,214,41.59,OK
BTC/USDT:USDT (1d),20,451.10,2155.50,24.08,114,38.60,OK
SOL/USDT:USDT (5m),20,294.83,1374.16,78.95,378,29.10,OK
AAVE/USDT:USDT (5m),20,291.83,1359.17,100.82,6,0.00,⚠️ Liquidiert
SOL/USDT:USDT (15m),20,288.28,1341.39,82.88,544,27.21,OK
SOL/USDT:USDT (6h),20,222.53,1012.66,105.85,34,14.71,⚠️ Liquidiert
SOL/USDT:USDT (1h),20,220.90,1004.49,40.74,728,37.09,OK
DOGE/USDT:USDT (1d),20,211.50,957.50,24.81,317,68.77,OK
BTC/USDT:USDT (15m),20,173.41,767.04,28.57,14,64.29,OK
BTC/USDT:USDT (4h),20,160.11,700.57,14.39,593,61.72,OK
BTC/USDT:USDT (1h),20,159.05,695.23,66.30,68,30.88,OK
BTC/USDT:USDT (30m),20,132.96,564.81,28.84,16,50.00,OK
BTC/USDT:USDT (2h),20,78.59,292.97,24.03,65,46.15,OK
BTC/USDT:USDT (5m),20,13.34,-33.28,101.33,166,60.84,⚠️ Liquidiert
ETH/USDT:USDT (1d),20,0.00,-100.00,158.47,6,0.00,⚠️ Liquidiert
DOGE/USDT:USDT (5m),20,0.00,-100.00,128.95,31,61.29,⚠️ Liquidiert
SOL/USDT:USDT (4h),20,0.00,-100.00,102.01,12,25.00,⚠️ Liquidiert
DOGE/USDT:USDT (1h),20,0.00,-100.00,103.56,6,0.00,⚠️ Liquidiert
ADA/USDT:USDT (1h),20,0.00,-100.00,106.07,11,9.09,⚠️ Liquidiert
ADA/USDT:USDT (5m),20,0.00,-100.00,101.60,23,39.13,⚠️ Liquidiert
ADA/USDT:USDT (4h),20,0.00,-100.00,104.78,14,7.14,⚠️ Liquidiert
XRP/USDT:USDT (1h),20,0.00,-100.00,129.70,8,12.50,⚠️ Liquidiert
XRP/USDT:USDT (5m),20,0.00,-100.00,102.47,8,25.00,⚠️ Liquidiert
DOGE/USDT:USDT (4h),20,0.00,-100.00,105.04,7,0.00,⚠️ Liquidiert
