Strategie,Startkapital,Endkapital,PnL %,Max DD %,Trades,Win Rate %
AAVE/USDT:USDT (1d),50,"5,220.00",10339.99,26.05,424,41.04
ETH/USDT:USDT (1d),50,"4,663.05",9226.10,40.32,212,37.74
BTC/USDT:USDT (1d),50,220.04,340.08,10.42,207,55.56
BTC/USDT:USDT (1h),50,83.78,67.56,33.89,87,27.59
