Strategie,Startkapital,Endkapital,PnL %,Max DD %,Trades,Win Rate %,Status
ADA/USDT:USDT (15m),50,8825.59,17551.17,56.33,8475,63.52,OK
AAVE/USDT:USDT (1d),50,8701.38,17302.75,46.41,437,39.59,OK
DOGE/USDT:USDT (2h),50,5337.92,10575.85,81.66,1116,38.53,OK
ADA/USDT:USDT (1d),50,5194.88,10289.76,29.11,263,41.06,OK
ETH/USDT:USDT (1d),50,5036.27,9972.54,44.44,210,37.14,OK
XRP/USDT:USDT (15m),50,4557.03,9014.06,77.89,8717,74.65,OK
XRP/USDT:USDT (30m),50,3452.06,6804.11,33.02,642,53.58,OK
XRP/USDT:USDT (6h),50,3447.78,6795.56,56.11,341,46.33,OK
AAVE/USDT:USDT (2h),50,3308.34,6516.68,22.19,797,49.94,OK
DOGE/USDT:USDT (15m),50,2996.01,5892.01,36.08,1392,55.68,OK
ETH/USDT:USDT (1h),50,2982.00,5864.01,70.64,1746,58.59,OK
ADA/USDT:USDT (30m),50,2898.42,5696.84,84.36,389,35.73,OK
AAVE/USDT:USDT (15m),50,2747.09,5394.17,58.76,14410,71.69,OK
ETH/USDT:USDT (6h),50,2692.34,5284.67,47.81,496,43.35,OK
ETH/USDT:USDT (4h),50,2494.64,4889.29,53.66,336,43.45,OK
SOL/USDT:USDT (30m),50,2401.63,4703.26,22.82,312,53.21,OK
AAVE/USDT:USDT (6h),50,2273.83,4447.66,26.15,2061,49.01,OK
SOL/USDT:USDT (2h),50,2106.23,4112.46,42.44,1488,53.09,OK
XRP/USDT:USDT (1d),50,1988.51,3877.01,58.54,268,50.00,OK
ETH/USDT:USDT (30m),50,1944.05,3788.11,65.45,779,63.54,OK
AAVE/USDT:USDT (30m),50,1906.00,3712.00,33.70,6496,66.19,OK
ADA/USDT:USDT (2h),50,1774.04,3448.09,72.19,412,29.13,OK
ETH/USDT:USDT (15m),50,1704.10,3308.20,26.73,285,47.02,OK
AAVE/USDT:USDT (1h),50,1554.33,3008.67,34.76,4145,75.83,OK
DOGE/USDT:USDT (30m),50,1484.00,2868.01,26.42,3136,77.87,OK
ETH/USDT:USDT (2h),50,1342.80,2585.59,42.82,1451,72.64,OK
DOGE/USDT:USDT (6h),50,1286.60,2473.20,132.68,6,33.33,⚠️ Liquidiert
AAVE/USDT:USDT (4h),50,1278.38,2456.77,76.07,828,20.41,OK
XRP/USDT:USDT (4h),50,1093.34,2086.69,89.16,495,25.45,OK
SOL/USDT:USDT (4h),50,1014.04,1928.09,55.88,1331,52.22,OK
ADA/USDT:USDT (6h),50,549.04,998.08,112.61,8,0.00,⚠️ Liquidiert
SOL/USDT:USDT (15m),50,544.47,988.94,82.88,471,27.81,OK
SOL/USDT:USDT (1h),50,494.28,888.57,40.74,647,36.48,OK
BTC/USDT:USDT (1d),50,332.92,565.84,12.80,171,49.12,OK
BTC/USDT:USDT (6h),50,325.17,550.35,11.30,34,52.94,OK
BTC/USDT:USDT (4h),50,324.83,549.67,15.29,454,61.45,OK
BTC/USDT:USDT (15m),50,252.11,404.21,28.57,9,66.67,OK
BTC/USDT:USDT (2h),50,185.73,271.45,24.03,55,47.27,OK
SOL/USDT:USDT (1d),50,173.75,247.50,32.40,246,64.23,OK
SOL/USDT:USDT (6h),50,155.47,210.95,20.82,235,52.34,OK
BTC/USDT:USDT (30m),50,130.55,161.09,28.84,12,41.67,OK
BTC/USDT:USDT (1h),50,83.78,67.56,33.89,87,27.59,OK
ADA/USDT:USDT (4h),50,0.00,-100.00,104.78,14,7.14,⚠️ Liquidiert
ADA/USDT:USDT (1h),50,0.00,-100.00,106.07,11,9.09,⚠️ Liquidiert
DOGE/USDT:USDT (4h),50,0.00,-100.00,105.04,7,0.00,⚠️ Liquidiert
DOGE/USDT:USDT (1h),50,0.00,-100.00,103.56,6,0.00,⚠️ Liquidiert
XRP/USDT:USDT (1h),50,0.00,-100.00,129.70,8,12.50,⚠️ Liquidiert
XRP/USDT:USDT (2h),50,0.00,-100.00,100.77,13,0.00,⚠️ Liquidiert
DOGE/USDT:USDT (1d),50,0.00,-100.00,103.57,41,26.83,⚠️ Liquidiert
